,ID,FULL NAME,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PPG,APG,RBG,Overall Score
2,76003,"Abdul-Jabbar, Kareem",1947-04-16T00:00:00,UCLA,USA,UCLA/USA,86.0,225.0,19,Center,Inactive,Lakers,1969,1,1,24.6,3.6,11.2,14.280000000000001
25,201582,"Ajinca, Alexis",1988-05-06T00:00:00,Hyeres-Toulon,France,Hyeres-Toulon/France,86.0,248.0,7,Center,Inactive,Pelicans,2008,1,20,5.3,0.5,3.9,3.44
28,202374,"Alabi, Solomon",1988-03-21T00:00:00,Florida State,Nigeria,Florida State/Nigeria,85.0,252.0,2,Center,Inactive,Raptors,2010,2,50,1.5,0.2,2.3,1.35
83,101149,"Andriuskevicius, Martynas",1986-03-12T00:00:00,Zalgiris,Lithuania,Zalgiris/Lithuania,86.0,240.0,1,Center,Inactive,Cavaliers,2005,2,44,0.0,0.0,0.7,0.21
142,2053,"Bagaric, Dalibor",1980-07-02T00:00:00,Benston Zagreb,Croatia,Benston Zagreb/Croatia,85.0,290.0,3,Center,Inactive,Bulls,2000,1,24,2.6,0.4,2.5,1.9100000000000001
268,76172,"Blab, Uwe",1962-03-26T00:00:00,Indiana,USA,Indiana/USA,85.0,252.0,4,Center,Inactive,Mavericks,1985,1,17,2.1,0.4,1.8,1.5
299,1629626,"Bol, Bol",1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,86.0,220.0,1,Center-Forward,Active,Nuggets,2019,2,44,2.0,0.3,0.7,1.1
300,76195,"Bol, Manute",1962-10-16T00:00:00,Bridgeport,USA,Bridgeport/USA,90.0,200.0,9,Center,Inactive,Bullets,1985,2,31,2.6,0.3,4.2,2.39
334,76217,"Bowie, Sam",1961-03-17T00:00:00,Kentucky,USA,Kentucky/USA,85.0,235.0,9,Center,Inactive,Nets,1984,1,2,10.9,2.1,7.5,7.24
353,762,"Bradley, Shawn",1972-03-22T00:00:00,Brigham Young,USA,Brigham Young/USA,90.0,275.0,12,Center,Inactive,Mavericks,1993,1,2,8.1,0.7,6.3,5.34
372,76247,"Breuer, Randy",1960-10-11T00:00:00,Minnesota,USA,Minnesota/USA,87.0,230.0,10,Center,Inactive,Bucks,1983,1,18,6.8,0.9,4.4,4.3100000000000005
